blender_frame,anchor_code,cluster_id,substrate,config_count,target_extL,target_extA,target_extB,max_dE,build
115,anchor_114,114,Solexia,28,40.51,-6.81,-1.72,1.0111,SB60 Solexia 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 7.71mm / SKN183 Clear 6mm
116,anchor_115,115,Solexia,16,40.58,-8.95,0.99,0.2133,SB60 Solexia 6mm / Vacuum 0.25mm / Clear 5mm / Ar90 10.07mm / C270 Clear 5mm
117,anchor_116,116,Solexia,32,41.65,-6.1,-2.36,0.7132,SB60 Solexia 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 9.01mm / C180 Clear 5mm
118,anchor_117,117,Solexia,32,42.02,-8.39,-1.59,0.8803,SB70 Solexia 6mm / Ar90 8.09mm / Clear 6mm / Vacuum 0.25mm / C272 Clear 6mm
119,anchor_118,118,Solexia,44,42.04,-7.82,-3.01,1.0076,SB70 Solexia 6mm / Ar90 9.49mm / LUMI Clear 5mm / Vacuum 0.25mm / Clear 5mm
120,anchor_119,119,Solexia,8,43.14,-10.71,-0.74,0.1108,SB70 Solexia 6mm / Ar90 10.09mm / Clear 5mm / Vacuum 0.25mm / C270 Clear 5mm
121,anchor_120,120,Solexia,18,43.6,-9.36,-2.71,0.6986,SB70 Solexia 6mm / Ar90 9.04mm / Clear 6mm / Vacuum 0.25mm / SB70 Clear 5mm
122,anchor_121,121,Solexia,16,44.24,-8.82,-2.85,0.6207,SB70 Solexia 6mm / Ar90 8.09mm / C180 Clear 6mm / Vacuum 0.25mm / Clear 6mm
123,anchor_122,122,Starphire,5,39.71,-0.75,-2.58,0.231,SB60 Starphire 6mm / Vacuum 0.25mm / Clear 5mm
124,anchor_123,123,Starphire,82,42.64,-1.18,-3.47,1.2237,SB60 Starphire 5mm / Ar90 11.88mm / C366 Clear 5mm / Vacuum 0.25mm / Clear 4mm
125,anchor_124,124,Starphire,56,43.32,-2.23,-1.13,0.6768,SB60 Starphire 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 9.01mm / C272 Clear 5mm
126,anchor_125,125,Starphire,30,43.39,-0.45,-2.2,1.2616,SB60 Starphire 6mm / Ar90 9.09mm / Clear 6mm / Vacuum 0.25mm / C366 Clear 5mm
127,anchor_126,126,Starphire,7,43.58,-1.71,-4.53,1.3366,SB72 Starphire 6mm / Vacuum 0.25mm / Clear 4mm
128,anchor_127,127,Starphire,14,43.63,-2.45,-2.65,0.2265,SB60 Starphire 5mm / Ar90 11.08mm / C270 Clear 5mm / Vacuum 0.25mm / Clear 5mm
129,anchor_128,128,Starphire,18,44.58,-2.92,-3.5,0.6331,SB60 Starphire 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 7.71mm / SKN183 Clear 6mm
130,anchor_129,129,Starphire,28,44.67,-5.42,-0.02,0.2914,SB60 Starphire 5mm / Vacuum 0.25mm / Clear 5mm / Ar90 11.06mm / C270 Clear 5mm
131,anchor_130,130,Starphire,40,46.16,-1.62,-4.97,0.8752,SB72 Starphire 6mm / Ar90 11.49mm / Clear 4mm / Vacuum 0.25mm / LUMI Clear 4mm
132,anchor_131,131,Starphire,94,46.19,-2.12,-4.82,0.9874,SB72 Starphire 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 7.71mm / LUMI Clear 6mm
133,anchor_132,132,Starphire,32,46.21,-3.05,-3.19,0.4587,SB72 Starphire 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 9.01mm / C272 Clear 5mm
134,anchor_133,133,Starphire,4,46.47,-2.52,-6.75,0.0537,SB72 Starphire 6mm / Ar90 7.49mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm
135,anchor_134,134,Starphire,36,47.2,-3.59,-4.77,0.9451,SB72 Starphire 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 7.71mm / SKN183 Clear 6mm
136,anchor_135,135,Starphire,16,47.23,-5.53,-2.34,0.2142,SB72 Starphire 6mm / Vacuum 0.25mm / Clear 5mm / Ar90 10.07mm / C270 Clear 5mm
137,anchor_136,136,Starphire,24,48.37,-2.45,-5.36,0.6278,SB72 Starphire 6mm / Vacuum 0.25mm / Clear 4mm / Ar90 11.6mm / C180 Clear 4mm
