cluster_id,code,distinct_colors,config_count,extL,extA,extB,max_dE_in_cluster,mean_dE_in_cluster,source,source_idx,stack_desc,stack_json
62,anchor_62,37,74,35.74,-0.56,-6.35,1.1209,0.6654,enthermal-plus-outboard.json,839,SB60 Optiblue 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 8.71mm / LUMI Clear 5mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Optiblue"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.71},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":5}]"
63,anchor_63,37,70,39.24,-2.12,-6.65,1.4911,0.927,enthermal-plus-inboard.json,1185,SB70 Optiblue 5mm / Ar90 11.08mm / Clear 5mm / Vacuum 0.25mm / C272 Clear 5mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Optiblue"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.08},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":5}]"
64,anchor_64,30,70,34.46,-1.05,-4.3,1.522,0.9048,enthermal-plus-inboard.json,369,SB70 Solargray 5mm / Ar90 12.58mm / Clear 4mm / Vacuum 0.25mm / SB70 Clear 4mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Solargray"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":12.58},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":4}]"
65,anchor_65,2,4,42.63,-2.87,-8.86,0.0539,0.0269,enthermal-plus-inboard.json,1775,XTR6129 Clear 6mm / Ar90 8.15mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""XTR6129"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.15},{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
66,anchor_66,48,96,39.72,-4.66,-2.6,1.4951,0.7657,enthermal-plus-inboard.json,2213,Q452 Clear 6mm / Ar90 7.45mm / Clear 6mm / Vacuum 0.25mm / SKN183 Clear 6mm,"[{""type"":""glass"",""coating"":""Q452"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.45},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6}]"
67,anchor_67,16,40,33.77,-2.51,-5.88,1.15,0.4518,enthermal-plus-outboard.json,828,SB60 Solarblue 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 9.01mm / C272 Clear 5mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Solarblue"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.01},{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":5}]"
68,anchor_68,35,69,33.74,-0.99,-3.01,1.5578,0.9131,enthermal-plus-inboard.json,368,SB70 Solargray 5mm / Ar90 12.58mm / Clear 4mm / Vacuum 0.25mm / SB60 Clear 4mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Solargray"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":12.58},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":4}]"
69,anchor_69,3,3,31.83,-1.26,-6.02,0.1153,0.0564,enthermal.json,92,SB60 Solarblue 6mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Solarblue"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
70,anchor_70,56,154,44.1,-6.84,-12.03,1.1245,0.6013,enthermal-plus-inboard.json,1801,C340 Clear 6mm / Ar90 9.0mm / Clear 6mm / Vacuum 0.25mm / SB60 Clear 5mm,"[{""type"":""glass"",""coating"":""C340"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.0},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":5}]"
71,anchor_71,6,12,35.99,-0.47,-8.55,1.6064,1.047,enthermal-plus-inboard.json,2061,SB60 Optiblue 6mm / Ar90 7.49mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Optiblue"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.49},{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
72,anchor_72,26,52,39.68,-1.88,-8.74,1.48,0.7971,enthermal-plus-inboard.json,1728,SB70 Optiblue 6mm / Ar90 9.09mm / C180 Clear 6mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Optiblue"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.09},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
73,anchor_73,59,126,36.97,-1.7,-3.11,1.2824,0.8311,enthermal-plus-outboard.json,984,SB60 Optigray 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 8.01mm / C180 Clear 6mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Optigray"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.01},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":6}]"
74,anchor_74,71,137,42.75,-3.25,-3.17,1.6377,1.0988,enthermal-plus-inboard.json,421,C366 Clear 6mm / Ar90 11.65mm / C270 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.65},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
75,anchor_75,16,32,47.09,-7.1,-2.3,0.3662,0.223,enthermal-plus-outboard.json,386,SB70 Clear 5mm / Vacuum 0.25mm / Clear 5mm / Ar90 11.86mm / C270 Clear 4mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.86},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":4}]"
76,anchor_76,104,225,41.52,-2.04,-2.7,1.3329,0.7653,enthermal-plus-inboard.json,1248,SB60 Clear 6mm / Ar90 10.09mm / C272 Clear 5mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":10.09},{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
