cluster_id,code,distinct_colors,config_count,extL,extA,extB,max_dE_in_cluster,mean_dE_in_cluster,source,source_idx,stack_desc,stack_json
24,anchor_24,32,64,36.78,-0.56,-6.07,1.4102,0.7754,enthermal-plus-outboard.json,545,SB60 Optiblue 5mm / Vacuum 0.25mm / Clear 5mm / Ar90 10.76mm / LUMI Clear 5mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Optiblue"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":10.76},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":5}]"
25,anchor_25,2,4,52.41,-1.94,-9.47,0.06,0.03,enthermal-plus-inboard.json,2149,ZEN Clear 6mm / Ar90 7.15mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""ZEN"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.15},{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
26,anchor_26,8,16,40.58,-8.95,0.99,0.2373,0.1487,enthermal-plus-outboard.json,652,SB60 Solexia 6mm / Vacuum 0.25mm / Clear 5mm / Ar90 10.07mm / C270 Clear 5mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Solexia"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":10.07},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5}]"
27,anchor_27,2,4,45.3,-2.43,-10.82,0.0768,0.0384,enthermal-plus-inboard.json,2157,SKN183 Clear 6mm / Ar90 7.15mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.15},{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
28,anchor_28,20,53,40.98,-3.91,-3.11,1.3627,0.6413,enthermal-plus-inboard.json,119,Q452 Clear 4mm / Ar90 13.45mm / Clear 4mm / Vacuum 0.25mm / C180 Clear 4mm,"[{""type"":""glass"",""coating"":""Q452"",""substrate"":""Clear"",""thickness"":4},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":13.45},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":4}]"
29,anchor_29,17,34,43.64,-9.24,-2.78,0.9963,0.6784,enthermal-plus-inboard.json,684,SB70 Solexia 6mm / Ar90 11.59mm / Clear 4mm / Vacuum 0.25mm / SB70 Clear 4mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Solexia"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.59},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":4}]"
30,anchor_30,72,158,35.54,-0.84,-1.68,1.8448,1.2094,enthermal-plus-inboard.json,647,SB60 Optigray 6mm / Ar90 11.69mm / Clear 4mm / Vacuum 0.25mm / C366 Clear 4mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Optigray"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.69},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":4}]"
31,anchor_31,119,239,43.17,-1.66,-3.88,1.4582,0.8992,enthermal-plus-inboard.json,2136,LUMI Clear 6mm / Ar90 7.75mm / C272 Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.75},{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
32,anchor_32,49,114,52.33,-0.67,-7.47,1.375,0.9605,enthermal-plus-inboard.json,160,ZEN Clear 4mm / Ar90 13.15mm / Clear 4mm / Vacuum 0.25mm / LUMI Clear 4mm,"[{""type"":""glass"",""coating"":""ZEN"",""substrate"":""Clear"",""thickness"":4},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":13.15},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":4}]"
33,anchor_33,56,126,37.88,-1.34,-8.31,1.5142,0.8367,enthermal-plus-inboard.json,1734,SB70 Optiblue 6mm / Ar90 8.49mm / LUMI Clear 6mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Optiblue"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.49},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
